Category,Headline,Summary,Date
political-pulse,"As Mamata, BJP up the rancour, a glimpse of how battle for Bengal may play out next year","Saraswati Puja row: TMC accuses BJP of attempting to polarise Hindu votes, latter says West Bengal CM is engaging in “appeasement politics”.","FEBRUARY 23, 2025 16:08 IST"
political-pulse,"Today in Politics: In high-stakes Bihar contest, where NDA, Mahagathbandhan stand right now","PM Narendra Modi is scheduled to visit the state on February 24, signal the start of the ruling alliance’s poll campaign.","FEBRUARY 23, 2025 19:47 IST"
political-pulse,"Now AAP snaps at Congress heels in Gujarat, in many local body seats, finishes second behind BJP","The Congress, which lost 12 municipalities, has accused the BJP of “dividing Congress votes” by “supporting parties like the AAP and BSP”. AAP says it is only providing voters who are looking for an alternative to the BJP a choice.","FEBRUARY 23, 2025 16:08 IST"
political-pulse,"As Rahul Gandhi attacks Mayawati for ‘staying away’, why it’s more about signs than numbers","Congress leader sends a message to Dalits regarding BSP’s weakened position, also to ally SP as it flexes muscle.","FEBRUARY 22, 2025 07:11 IST"
political-pulse,Why several BJP seats are on JD(U) wish list for Bihar Assembly elections,"In what is likely a negotiation tactic for seat-sharing talks, Nitish Kumar’s party has identified 125 seats for the polls, including 20 that its ally either holds or unsuccessfully contested last time.","FEBRUARY 21, 2025 15:58 IST"
political-pulse,A BJP ally in UP seeks Bihar Assembly election deal but keeps RJD option open,"To foray into Bihar, Om Prakash Rajbhar's OBC party SBSP has held 24 rallies across the state in three months, preparing to demand 15 seats from BJP.","FEBRUARY 21, 2025 12:21 IST"
political-pulse,"As 2 NCP ministers landed in trouble, how Mahayuti govt found itself on the backfoot",NCP Minister Manikrao Kokate’s conviction in a fraud case follows the storm over the killing of a Beed sarpanch in which another NCP Minister Dhananjay Munde is facing the heat,"FEBRUARY 21, 2025 10:35 IST"
political-pulse,Today in Politics: PM Modi to inaugurate School of Ultimate Leadership conclave,Congress MP Rahul Gandhi continues his two-day visit to Raebareli. Karnataka HC is hearing a PIL contesting the high number of Cabinet ranking legislators.,"FEBRUARY 21, 2025 07:25 IST"
political-pulse,"Is Akash Anand again in trouble with Mayawati? As BSP chief cracks the whip, confusion in party over her nephew’s position",Mayawati has removed Delhi BSP president Laxman Singh and appointed Delhi unit vice president Rajesh Tanwar to the post. Laxman Singh was appointed general secretary of Delhi committee and Sujeet Smrat the new vice president of Delhi BSP.,"FEBRUARY 21, 2025 10:45 IST"
political-pulse,"BJP grand plan for simultaneous polls campaign: 20-page pitch, civil society","BJP's nationwide campaign is aimed at building public sentiment in favour of its “One Nation, One Election” proposal, even as a Joint Committee of Parliament is examining the two Bills over it","FEBRUARY 21, 2025 05:10 IST"
political-pulse,Decode Politics: Rahul Gandhi unveils a revolutionary’s statue – why is he keeping focus on Independence?,"During his current visit to his constituency Rae Bareli, LoP unveils a statue of Rana Beni Madho, an icon of the 1857 uprising","FEBRUARY 21, 2025 05:12 IST"
political-pulse,"MP CM Mohan Yadav: ‘Congress in decline, so if someone jumps ship, we welcome them keeping BJP ideology intact’","“Not taking investors’ summits as mere karmkand (ritual) and are focusing on actual work... Now, we are holding a global investment summit for the first time in Bhopal,” CM Yadav tells The Indian Express","FEBRUARY 21, 2025 06:50 IST"
political-pulse,BJP’s key Delhi face Vijender Gupta’s journey: marshalled out of Assembly as LoP to Speaker,"A two-time LoP and ex-BJP chief, Vijender had been at the centre of the BJP's campaign against AAP within and outside the House over various rows and “scams” including the “Sheesh Mahal” case","FEBRUARY 20, 2025 19:20 IST"
political-pulse,Second innings of Kapil Mishra: AAP turncoat to BJP firebrand and Delhi minister,The Karawal Nagar MLA's induction into Delhi Cabinet is being seen as “completion of his integration” into BJP fold; he had been accused of inciting Delhi riots through “inflammatory speeches”,"FEBRUARY 20, 2025 19:36 IST"
political-pulse,"Meet Parvesh Verma, BJP’s Jat face in Delhi Cabinet: Giant killer who rode ‘Sheesh Mahal’ plank","Former West Delhi MP pulled off the biggest upset of Delhi polls, defeating Kejriwal in his New Delhi seat which has always been a barometer of the incumbent government’s popularity in the national capital","FEBRUARY 20, 2025 12:06 IST"
political-pulse,Decode Politics: Is Amritpal Singh’s concern justified — can MPs lose their seat due to prolonged absence?,"The pro-Khalistan leader and Independent MP from Punjab, who has been in jail in Dibrugarh since April 2023, has moved the Punjab and Haryana High Court after missing proceedings in Parliament for 46 days.","FEBRUARY 20, 2025 08:20 IST"
political-pulse,Today in Politics: Rekha Gupta to take oath as Delhi CM; Rahul to begin two-day Rae Bareli tour,"Grand swearing in to be held at Ramlila Maidan, top BJP brass and NDA CMs to attend the event","FEBRUARY 20, 2025 08:52 IST"
political-pulse,Decode Politics: How MUDA ‘scam’ clean chit boosts Siddaramaiah in tussle with Shivakumar,"Karnataka Lokayukta police clears CM and his wife in alleged Mysuru Urban Development Authority land scam case, citing “lack of evidence""","FEBRUARY 19, 2025 22:50 IST"
political-pulse,Delhi gets its fourth woman CM: Who is Rekha Gupta?,"Delhi New CM Name: A former president of the Delhi University Students’ Union, Gupta is a three-time MCD councillor with vast administrative experience.","FEBRUARY 20, 2025 07:29 IST"
political-pulse,"As Rekha Gupta is appointed Delhi CM, the 4 big challenges she will face","From managing the finances and fulfilling its main election promises to cleaning the Yamuna, the BJP government will have its hands full as it gets down to administrative business from Thursday.","FEBRUARY 20, 2025 07:35 IST"
political-pulse,Why BJP is pushing to scrap quota for Pasmanda Muslims in Telangana,"Three years after PM Narendra Modi asked party colleagues to reach out to Muslims from the backward classes across India, issuing the call from the state, uncertainty surrounds its outreach to these members of the minority community in the state.","FEBRUARY 19, 2025 22:50 IST"
political-pulse,"Bihar at stake, how RJD is trying to expand its base, not be seen as just a ‘Muslim-Yadav’ party","For the Assembly polls later this year, RJD is not just depending on social engineering but also trying to get an image makeover in a bid to signal that it has a roadmap for Bihar's development.","FEBRUARY 19, 2025 22:51 IST"
political-pulse,Today in Politics: Suspense over Delhi CM may finally end as BJP set to hold key meet,Supreme Court to hear plea against appointment of CEC under new law; KCR to address BRS leaders at party’s executive meeting,"FEBRUARY 19, 2025 22:51 IST"
political-pulse,Why BJP push for ‘love jihad’ law in Maharashtra may hit turbulence,"Ajit Pawar NCP remains non-committal over proposed law, RPI(A) chief Athawale voices dissent, while Opposition MVA attacks it for “targeting” Muslims.","FEBRUARY 19, 2025 22:51 IST"
political-pulse,"As Gyanesh Kumar takes charge as CEC, 5 big challenges before him",One of the primary tasks of the poll body during his tenure will be to mend the relationship with Opposition parties and bridge the trust deficit that currently exists.,"FEBRUARY 19, 2025 22:51 IST"
political-pulse,"From Nehru to Modi, a Marathi literature conference makes its way back to Delhi after 71 years",The run-up to the 98th All-India Marathi Literature Conference recently caused a political flutter when Sharad Pawar honoured Maharashtra Deputy CM Eknath Shinde.,"FEBRUARY 19, 2025 22:51 IST"
political-pulse,"Where does CPI(M) stand on AI? Weeks after sounding alarm, Left party uses AI video of late Kerala CM E K Nayanar","Officially, the party has warned of the “perils of AI”, but its latest campaign is at odds with this position, as is the Bengal CPI(M)’s use of AI during the 2024 Lok Sabha poll campaign.","FEBRUARY 19, 2025 22:52 IST"
political-pulse,5 Lok Sabha seats in Punjab top poll spending list: A look at the numbers,"While candidates in Faridkot spent a total of Rs 4.19 crore, high-profile constituencies such as Anandpur Sahib, Sangrur, Bathinda, and Patiala round off the list.","FEBRUARY 19, 2025 08:10 IST"
political-pulse,"From the Urdu Press: ‘Fadnavis govt’s panel on love jihad bogey an eyewash’, ‘Onus on BJP to restore peace in Manipur’","“If the AAP is ousted from power in Punjab too, it would be difficult for the party to ensure its survival. The AAP’s rise in Indian politics was meteoric — its fall may then also turn out to be dramatic,” writes Urdu Times","FEBRUARY 18, 2025 16:08 IST"
political-pulse,"Sikh body, Akali Dal at odds: SGPC chief’s resignation reveals how deep the divide is","Harjinder Singh Dhami, seen to be close to former Shiromani Akali Dal chief Sukhbir Singh Badal, was heading the seven-member panel that the Akal Takht had tasked with reorganising the party.","FEBRUARY 18, 2025 12:13 IST"
political-pulse,"Why Tamil Nadu, Centre are at loggerheads over NEP, language politics","Centre's bid to not release Rs 2150 crore Samagra Shiksha funds to Tamil Nadu has ramifications for a large section of students and teachers, even as DMK-led alliance is set to hold a protest Tuesday.","FEBRUARY 18, 2025 20:20 IST"
political-pulse,"Amid uncertainty over INDIA bloc’s future, can Congress and co find common ground?",The belief that the Congress and its regional allies can gain or lose only at each others’ expense is only a half-truth and underlines their failure to tap into the BJP’s base.,"FEBRUARY 18, 2025 16:15 IST"
political-pulse,Today in Politics: New poll body chief appointed as CEC term ends; PM Modi to meet Qatar Emir,"Tamil Nadu’s ruling DMK set to protest against National Education Policy. Also, new Maharashtra Congress chief set to take over amid rift in state unit.","FEBRUARY 18, 2025 07:28 IST"
political-pulse,Who is new Election Commissioner Vivek Joshi?,Joshi took over as the Chief Secretary of Haryana in November 2024 after several stints in both the Central and state governments.,"FEBRUARY 18, 2025 07:15 IST"
political-pulse,"Gyanesh Kumar is new CEC: Played key roles in J&K reorganisation, setting up Ram Temple trust","Kumar's tenure will last till January 26, 2029, which will see him helm the EC as it conducts 20 Assembly elections, the polls for President and Vice-President in 2027, and prepares for the 2029 Lok Sabha elections.","FEBRUARY 18, 2025 08:13 IST"
political-pulse,"As J P Nadda’s tenure nears its end, what challenges await the next BJP president?","Though there were disappointments like the loss in Karnataka and the subpar performance in the Lok Sabha polls, the Nadda years saw the BJP rack up an impressive 26 electoral victories.","FEBRUARY 18, 2025 06:56 IST"
political-pulse,"Congress corners Tharoor over LDF govt praise, mouthpiece dubs Kerala ‘graveyard for industries’","Slamming Tharoor without naming him, Veekshanam daily says his praise for Vijayan govt's handling of economy would be “suicidal” for Congress in its fight against LDF ahead of local body and Assembly polls.","FEBRUARY 18, 2025 02:31 IST"
political-pulse,Decode Politics: Is Telangana Cabinet expansion imminent? Why there is a buzz again,"A “secret meeting” of 10 Congress MLAs, followed by CM Revanth Reddy’s trip to Delhi over the weekend, has fuelled speculation of a Cabinet expansion ahead of the Assembly session next month.","FEBRUARY 17, 2025 22:00 IST"
political-pulse,When 1954 Kumbh Mela stampede was flagged in Parliament by Gandhian stalwart to slam Cong govt,"J B Kriplani pointed out how Congressmen had changed their attitude after Independence, invoking Gandhi to underline that merely following rituals would not “rid people of their sins”","FEBRUARY 17, 2025 22:00 IST"
political-pulse,"How duration of Lok Sabha, Assembly sessions has shrunk: What the numbers say","The number of Bills passed by the Lok Sabha, however, has varied, with shorter sessions in recent years producing more Bills than considerably longer sessions in the past.","FEBRUARY 17, 2025 22:00 IST"
political-pulse,"As Ahmed Patel’s son quits Congress ‘in anguish’, what happens to the late leader’s political legacy?","Patel’s daughter Mumtaz remains actively involved in Gujarat Congress campaigns; says will “continue my work in politics, as my father did” while brother Faisal continues to focus on social work.","FEBRUARY 17, 2025 22:01 IST"
political-pulse,Today in Politics: SC to hear pleas on Places of Worship Act,Phase 1 of Chhattisgarh local body polls to begin; special session of Assam Assembly at Kokrajhar.,"FEBRUARY 17, 2025 09:15 IST"
political-pulse,How Rajiv Kumar fared as Chief Election Commissioner: The hits and the misses,"Kumar, who will demit office on Tuesday, focused on improving the transparency of the finances of political parties. However, the latter stages of his tenure were also marked by the Opposition’s allegations of electoral roll manipulation.","FEBRUARY 18, 2025 02:31 IST"
political-pulse,What is happening in Karnataka Congress? Proxy battles resume after a brief lull,"Even as a group of ministers close to Siddaramaiah question D K Shivakumar continuing as the party’s state president, the latter says, ""Siddaramaiah is our leader ... His name should not be misused every day.""","FEBRUARY 17, 2025 22:01 IST"
political-pulse,"Bihar polls ahead, Rabri Devi’s brother reopens an old RJD wound – ‘jungle raj’","Subhash Yadav, infamous himself for his role under the RJD regime, refers to the spree of kidnappings during that time, says they were “managed from CM House”","FEBRUARY 17, 2025 22:02 IST"
political-pulse,"Rift in Maharashtra Congress over ‘little known face’ at helm, Prithviraj Chavan ‘surprised’",Ex-CM Chavan says he was taken aback when Harshwardhan Sapkal was named as MPCC chief as his 'name was not even in discussion'; Satej Patil said to be 'upset',"FEBRUARY 16, 2025 13:46 IST"
political-pulse,"In echo of Rahul Gandhi’s ‘social justice’ pitch, AICC rejig balances castes, pushes for OBC faces","Of 11 new AICC functionaries given charge of different states as general secretaries or in-charges, five are OBC faces, one each is from SC, ST and Muslim communities, and three are upper caste leaders","FEBRUARY 17, 2025 22:02 IST"
political-pulse,BJP continues winning streak in Chhattisgarh civic polls — except blip in CM turf,Congress is routed in the polls but wins the nagar panchayat chairman seat in CM Vishnu Deo Sai's constituency in Kunkuri,"FEBRUARY 16, 2025 16:05 IST"
political-pulse,"Today in Politics: Third deportation flight arrives in Amritsar amid political row; voting for Gujarat local polls, one-tenth of seats uncontested","In Bengal, RSS is set to hold a rally with Sangh chief Mohan Bhagwat scheduled to deliver an address. The second round of the Telangana caste survey will begin on Sunday.","FEBRUARY 16, 2025 07:25 IST"
political-pulse,"A year before West Bengal polls, the significance of RSS chief Mohan Bhagwat’s 10-day visit to the state","Besides holding meetings of Sangh leaders and workers and opening a new office, RSS chief Mohan Bhagwat is set to address a rally in Purba Bardhaman Sunday.","FEBRUARY 16, 2025 11:03 IST"
political-pulse,"Congress sees red over Tharoor praise for Vijayan govt, sharpens attack on LDF",CPI(M) dispensation goes all out to showcase Tharoor's statement hailing its govt for “its initiatives in economic innovation and sustainable growth”,"FEBRUARY 16, 2025 03:57 IST"
political-pulse,Why US deportation flights to Amritsar have touched off a firestorm in Punjab,"While AAP has slammed Centre for allegedly “defaming” Punjab and Punjabis by choosing Amritsar as landing site, BJP has accused AAP of “deflecting” attention from the causes of illegal immigration from the state.","FEBRUARY 15, 2025 22:15 IST"
political-pulse,"Congress carries out major party revamp, with Rahul Gandhi imprint","Party appoints general secretaries for 2 states, in-charges for 9; six leaders who held these positions, including in Haryana, removed","FEBRUARY 15, 2025 22:15 IST"
political-pulse,President’s Rule in Manipur: Not a first for a party in power at Centre to act against own govt,Manipur action gives Congress a chance to hit back at PM’s barbs on the use of this Article in the past by Congress governments; Kharge and Rahul say ‘admission of failure’ on the part of the BJP govt to maintain order.,"FEBRUARY 15, 2025 22:16 IST"
political-pulse,Buddhist delegations to tribal processions — an RSS Sanatan ‘sangam’ at Kumbh Mela,"UP CM Adityanath to Union ministers have been addressing Buddhist, tribal delegations at Prayagraj mela site as the Sangh emphasises the message that they are “branches of the same tree” as Hinduism","FEBRUARY 16, 2025 14:57 IST"
political-pulse,Today in Politics: Congress tries to course correct with new party chiefs,Bhagwant Mann questions Centre over another plane with immigrants landing in Amritsar.,"FEBRUARY 15, 2025 08:38 IST"
political-pulse,"Many Surats in Gujarat? Local polls coming, one-tenth of seats already with BJP, ‘uncontested’","Congress candidates admit could not withhold “pressure”, as party cries foul; BJP says party looking for lame excuses to cover up its lack of good candidates.","FEBRUARY 15, 2025 22:17 IST"
political-pulse,2024 Lok Sabha elections in five charts,"Last year’s general elections recorded the highest ratio of women to men electors, second highest share of candidate forfeiting deposits, and among the lowest shares of candidates contesting on tickets from national parties","FEBRUARY 15, 2025 22:18 IST"
political-pulse,"As Congress goes for a polar opposite Maharashtra chief, what happens to Nana Patole?","An aggressive OBC face and farmer leader, Patole had failed to unite the state unit, was accused of autocratic behaviour","FEBRUARY 14, 2025 23:04 IST"
political-pulse,Stars brightening for B Y Vijayendra to continue as BJP Karnataka chief as rebel Yatnal served notice,"The party is keen for the young leader to complete his three-year term, and with the 2028 state elections in mind, would not want to risk alienating the Lingayat voter base.","FEBRUARY 14, 2025 19:04 IST"
political-pulse,Post-Delhi Verdict: Abhishek Banerjee hints at keeping doors open for alliance talks with Congress in Bengal,"TMC MP Abhishek Banerjee says AAP failed to counter BJP’s falsehoods in Delhi and lost, while TMC managed to counter similar ploy with aggressive campaigning.","FEBRUARY 14, 2025 19:05 IST"
political-pulse,"Dissent that Waqf panel report redacted: ‘furtherance of govt agenda’, ‘politically motivated’, ‘rushed through’","After protests by Opposition in the House, portions of dissent notes by members of the Waqf panel have been restored. However, some still remain redacted","FEBRUARY 14, 2025 19:05 IST"
political-pulse,"VP Jagdeep Dhankhar in the House? Bengal may not shut the door, could go for Special Assembly",Dhankhar who as Governor had a fractious relationship with CM Mamata Banerjee has sent a request to address the Bengal Assembly.,"FEBRUARY 14, 2025 19:05 IST"
political-pulse,"Newsmaker | Down in the dumps in Odisha, Congress bets on SC face, old streetfighter Bhakta Charan Das","Earlier, party picked an ST leader for CLP position. However, Das faces an uphill battle as PCC chief in a state where Congress has not been in power now for 25 years","FEBRUARY 14, 2025 19:06 IST"
political-pulse,Cong picks low-key ex-MLA ‘loyal’ to Gandhian ideology as new Maharashtra chief: Who is Harshvardhan Sapkal?,"In the wake of Cong's drubbing in Assembly polls, senior state leaders were “reluctant” to take up the MPCC chief's post, even as Sapkal's task is cut out now","FEBRUARY 14, 2025 19:06 IST"
political-pulse,Today in Politics: Centre to hold talks with protesting farmers in Chandigarh,President Droupadi Murmu to begin Karnataka visit; two-day orientation programme for Haryana MLAs to begin.,"FEBRUARY 14, 2025 07:17 IST"
political-pulse,"Asaduddin Owaisi: ‘If Waqf Bill becomes a law, Muslims won’t forgive Nitish, Chandrababu and Chirag for betrayal’",“What is the need to chant JSR (Jai Shree Ram) slogans when the (Waqf panel) report is being tabled in Parliament? What does this tell the nation? The government claims to be doing this (Bill) for poor Muslims. Is this the way to do it?” asks AIMIM chief.,"FEBRUARY 14, 2025 18:46 IST"
political-pulse,"‘No rationale for sending motion to remove Justice Yadav to Supreme Court… under law, they have no role’: Kapil Sibal","'Whatever may be the decision, whether or not to accept the motion, should be taken as quickly as possible, despite the fact that the Chairman may have sent the motion... to Supreme Court for information,” Kapil Sibal tells The Indian Express","FEBRUARY 14, 2025 05:20 IST"
political-pulse,"Amid growing buzz over Karnataka Congress rejig, Siddaramaiah camp eyes Shivakumar post","Several Cong faces in the race to replace Shivakumar as KPCC chief are ministers affiliated to Siddaramaiah, even as Shivakumar camp has been demanding his elevation to CM's position","FEBRUARY 15, 2025 14:46 IST"
political-pulse,"Former TDP leader who has history with Nara Lokesh held, page out of ‘Red Book’, say rivals","Film producer and ex-MLA Vallabhaneni Vamsi Mohan held for a 2021 attack on a TDP office among other cases, has had a controversial run since joining YSRCP","FEBRUARY 15, 2025 14:46 IST"
political-pulse,Decode Politics: Why Congress Telangana govt promise of 42% quota for Backward Classes in local polls not easy,The move to increase the quota from 23% would breach the Supreme Court’s 50% cap on reservations and may require a Constitutional amendment,"FEBRUARY 13, 2025 22:57 IST"
political-pulse,"Old foes, new target: A look at Himanta Sarma, Gaurav Gogoi saga over the years","Himanta left the Congress as he felt Gaurav was being promoted within the party structure. While they have taken on each other publicly, this time the Assam CM has dragged Gaurav's wife’s foreign origins into the row","FEBRUARY 13, 2025 15:22 IST"
political-pulse,"The highflier father and the frequent flyer son: Meet Tanaji and Rushiraj Sawant, the cast of Pune midair drama","An engineering graduate and PhD, Tanaji Sawant was a professor before he became an education baron and minister, who once claimed crabs ate a dam wall","FEBRUARY 14, 2025 06:46 IST"
political-pulse,"Bihar elections next, Congress state: No PCC panel for 8 yrs, no word yet on why","Party leaders advise an OBC, Dalit or minority as PCC chief in place of Akhilesh Singh, a Bhumihar who is also a Rajya Sabha MP. There are also murmurs over his perceived “closeness to Lalu Prasad”","FEBRUARY 13, 2025 22:58 IST"
political-pulse,"One year on, how farmers’ ‘Delhi Chalo’ stir 2.0 is playing out for BJP, AAP, Cong","Amid ongoing farm protests at Shambhu and Khanauri along with Dallewal's fast, all eyes are on February 14 meeting between the Centre and farmer leaders.","FEBRUARY 13, 2025 23:04 IST"
political-pulse,"Amid row with Centre over PMAY, Mamata govt goes big on housing scheme before polls","Expecting BJP’s “vikas” line of attack, TMC govt allots significant funds for rural connectivity, river erosion control, and agrarian support initiatives.","FEBRUARY 13, 2025 23:04 IST"
political-pulse,Why there are question marks about Congress readiness for Haryana civic polls,"For the past 11 years, the party has not been able to appoint office bearers, including at the local level, because of factional feuds in the state unit.","FEBRUARY 13, 2025 07:23 IST"
political-pulse,"Today in Politics: What’s on the table during PM Modi, President Trump talks?",Immigration and tariffs are expected to dominate the conversation – the Trump 2.0 administration has been aggressive on both the issues.,"FEBRUARY 13, 2025 22:55 IST"
political-pulse,"RSS gets new swanky Delhi headquarters — built at Rs 150 crore with three towers, 300 rooms, auditoriums","According to the RSS, Keshav Kunj is spread over four acres. In terms of size, it eclipses BJP's national headquarters.","FEBRUARY 13, 2025 13:42 IST"
political-pulse,"Delhi polls latest blow, what’s behind Mayawati’s latest firings in BSP","Ashok Siddharth, a former Rajya Sabha MP, is said to have been working to strengthen his son-in-law’s position in the party and that did not sit well with some senior leaders.","FEBRUARY 13, 2025 05:34 IST"
political-pulse,"Focus on Jats, Gujjars, drawing room meetings: How BJP clawed its way back in rural Delhi","“We created 24 groups of 52 OBC groups like Jats, Gujjars, Yadavs, Sainis, Prajapatis, Ramgarhias – roughly 50% of the population. Concerns of each were addressed,” said head of Delhi BJP OBC Morcha Sunil Yadav","FEBRUARY 13, 2025 11:22 IST"
political-pulse,SC Bench’s red line on freebies: What the top court has said earlier,"In 2013, the SC had held that the “state distributing largesse... is directly related to Directive Principles of State Policy” and warrants no interference by the Court","FEBRUARY 12, 2025 18:37 IST"
political-pulse,"Decode Politics: In Bengal’s tea gardens, why a TMC government decision makes for a bitter brew","Mamata Banerjee says 30% of tea garden land not being used to grow tea may be used for commercial purposes; her critics say this will leave struggling tea garden workers, indigenous tribes in a more precarious position","FEBRUARY 12, 2025 17:56 IST"
political-pulse,"Delhi to resonate in Bihar? In the state going to polls next, a shift in the wind","In the NDA camp, BJP will flex new electoral muscle; in Mahagathbandan, Congress will find its space shrinking","FEBRUARY 12, 2025 11:04 IST"
political-pulse,Today in Politics: PIL on UCC in Uttarakhand HC; Manipur CM question continues,The UCC in Uttarakhand -- the first state to implement the decision -- makes registration mandatory for live-in relationships,"FEBRUARY 12, 2025 07:30 IST"
political-pulse,"Why Jathedar Harpreet Singh’s sacking may open Pandora’s box for Akali Dal, Akal Takht",SGPC's move to fire Takht Damdama Sahib Jathedar may push the SAD and Akal Takht leadership on slippery ground,"FEBRUARY 12, 2025 07:35 IST"
political-pulse,"Engineer Rashid gets his day in Parliament: 10 hours of House, 1 min of speaking time","“Hamara khoon sasta nahin hai. Humein jeene do, humein jeene ka haq hai (Our blood is not cheap. Allow us to live, we have the right to live),” said Abdul Rashid Sheikh.","FEBRUARY 12, 2025 08:42 IST"
political-pulse,"CPM’s big U-turn: Kerala moves to allow private universities, ‘have to absorb changes to survive’",The LDF govt clears Bill in this regard three decades after 5 DYFI workers were killed in protests against opening up the higher education sector under the UDF govt,"FEBRUARY 12, 2025 04:32 IST"
political-pulse,"Yatnal to Vij to Kirodi Lal: After Delhi win, BJP cracks whip, aims to get house in order","BJP camp says it has slapped show-cause notices on these veterans from Karnataka, Haryana and Rajasthan to ensure that they “stop their callous remarks” against key party faces there.","FEBRUARY 11, 2025 22:33 IST"
political-pulse,"‘INDIA bloc was totally missing in Delhi… not just in terms of AAP, Congress fighting … but the whole spirit’: CPI (ML) L","Mahagathbandhan leader Dipankar Bhattacharya explains why Bihar’s INDIA ties more “organic”, says ‘capital-intensive’ Prashant Kishor wrong fit for ""labour-intensive"" Bihar.","FEBRUARY 12, 2025 13:47 IST"
political-pulse,"Maharashtra buzzes again: Why did Devendra Fadnavis meet Raj Thackeray, Sena (UBT) leaders?","Coming BMC polls, simmering Shinde Sena-BJP tension seen as possible reasons for Fadnavis’s spree of meetings in the course of a day.","FEBRUARY 12, 2025 06:51 IST"
political-pulse,"From the Urdu Press: ‘Mamata is not Kejriwal, Bengal won’t be a cakewalk for BJP’, ‘Kejriwal hubris did AAP in’","“The treatment meted out to the Indian deportees by the US authorities was humiliating. What is also unfortunate is that despite their friendly bonds the Modi government could not persuade the Trump administration to desist from it,” writes Inquilab","FEBRUARY 11, 2025 22:45 IST"
political-pulse,"AAP average victory margin in Delhi still higher than BJP’s, barring SC seats","Data shows that in reserved seats, voters who detached from the AAP not only voted for the BJP, but a major chunk also went with the Congress","FEBRUARY 11, 2025 19:32 IST"
political-pulse,"As Prashant Kishor meets Vijay, buzz of a realignment in Tamil Nadu politics","The meeting in Chennai comes amid speculation that I-PAC, once helmed by the Jan Suraaj Party founder, is close to striking a deal with the AIADMK.","FEBRUARY 12, 2025 01:30 IST"
political-pulse,‘Change of leadership will offer new perspective… maybe open the doors for dialogue’: Manipur civil society leader,"“We will continue to demand a separate administration as we can no longer live with the Meiteis,” says Indigenous Tribal Leaders Forum leader Ginza Vualzong.","FEBRUARY 12, 2025 06:48 IST"
political-pulse,"Rumblings in Haryana BJP as Anil Vij faces heat over salvos against CM Saini, state chief","State BJP president Badoli slaps a show-cause notice on Vij at the behest of national party chief Nadda, calling his allegations ""unacceptable"" and ""against BJP's policies and internal discipline”","FEBRUARY 11, 2025 19:33 IST"
political-pulse,"In Delhi seats with high Dalit numbers, BJP is still struggling","36 seats in Delhi where Dalits number over 15% of the population. AAP continues its dominance in 12 reserved seats, as well as constituencies where Dalits number over a quarter of population.","FEBRUARY 12, 2025 01:23 IST"
